transaction_id,transaction_qty,product_id,unit_price,product_category,product_type,product_detail,total_payment,transaction_datetime
260,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 13:43:41
264,1,53,3.0,Tea,Brewed Chai Tea,Traditional Blend Chai Large,3.0,2023-01-01 13:50:09
270,1,42,2.5,Tea,Brewed Herbal Tea,Lemon Grass Regular,2.5,2023-01-01 13:55:04
274,2,27,3.5,Coffee,Organic Brewed Coffee,Brazilian Large,7.0,2023-01-01 13:57:34
275,1,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023-01-01 13:57:34
277,1,34,2.45,Coffee,Premium Brewed Coffee,Jamaican Coffee River Small,2.45,2023-01-01 13:58:11
278,2,39,4.25,Coffee,Barista Espresso,Latte Regular,8.5,2023-01-01 13:59:58
279,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 14:03:34
280,1,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023-01-01 14:03:34
287,2,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,6.2,2023-01-01 14:13:28
288,2,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,5.0,2023-01-01 14:19:57
292,2,39,4.25,Coffee,Barista Espresso,Latte Regular,8.5,2023-01-01 14:22:38
298,2,24,3.0,Coffee,Drip Coffee,Our Old Time Diner Blend Large,6.0,2023-01-01 14:25:39
300,2,45,3.0,Tea,Brewed Herbal Tea,Peppermint Large,6.0,2023-01-01 14:29:05
301,2,49,3.0,Tea,Brewed Black Tea,English Breakfast Large,6.0,2023-01-01 14:29:50
302,1,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,2023-01-01 14:29:50
304,1,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,3.1,2023-01-01 14:30:58
305,1,42,2.5,Tea,Brewed Herbal Tea,Lemon Grass Regular,2.5,2023-01-01 14:31:26
307,2,41,4.25,Coffee,Barista Espresso,Cappuccino Large,8.5,2023-01-01 14:32:42
311,1,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,3.1,2023-01-01 14:36:35
312,1,44,2.5,Tea,Brewed Herbal Tea,Peppermint Regular,2.5,2023-01-01 14:37:48
313,1,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro Shot,3.0,2023-01-01 14:39:06
315,2,61,4.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Large,9.5,2023-01-01 14:42:39
322,2,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,6.0,2023-01-01 14:51:19
328,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-01 15:06:27
332,1,40,3.75,Coffee,Barista Espresso,Cappuccino,3.75,2023-01-01 15:10:10
333,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-01 15:10:10
337,2,38,3.75,Coffee,Barista Espresso,Latte,7.5,2023-01-01 15:16:37
343,2,50,2.5,Tea,Brewed Black Tea,Earl Grey Regular,5.0,2023-01-01 15:25:09
346,1,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,3.0,2023-01-01 15:28:54
351,1,34,2.45,Coffee,Premium Brewed Coffee,Jamaican Coffee River Small,2.45,2023-01-01 15:30:58
353,2,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,4.0,2023-01-01 15:33:36
354,1,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2023-01-01 15:33:36
357,2,37,3.0,Coffee,Barista Espresso,Espresso Shot,6.0,2023-01-01 15:36:59
361,2,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023-01-01 15:46:34
363,2,39,4.25,Coffee,Barista Espresso,Latte Regular,8.5,2023-01-01 15:52:23
364,1,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023-01-01 15:52:23
365,2,33,3.5,Coffee,Gourmet Brewed Coffee,Ethiopia Large,7.0,2023-01-01 15:53:55
383,2,40,3.75,Coffee,Barista Espresso,Cappuccino,7.5,2023-01-01 16:19:26
385,1,22,2.0,Coffee,Drip Coffee,Our Old Time Diner Blend Small,2.0,2023-01-01 16:22:07
388,1,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,2.55,2023-01-01 16:27:42
390,1,42,2.5,Tea,Brewed Herbal Tea,Lemon Grass Regular,2.5,2023-01-01 16:28:57
394,1,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,2.0,2023-01-01 16:35:11
398,1,46,2.5,Tea,Brewed Green Tea,Serenity Green Tea Regular,2.5,2023-01-01 16:40:19
399,1,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,2.5,2023-01-01 16:41:51
402,1,44,2.5,Tea,Brewed Herbal Tea,Peppermint Regular,2.5,2023-01-01 16:47:05
403,1,72,3.25,Bakery,Scone,Ginger Scone,3.25,2023-01-01 16:47:05
404,2,44,2.5,Tea,Brewed Herbal Tea,Peppermint Regular,5.0,2023-01-01 16:48:31
405,1,53,3.0,Tea,Brewed Chai Tea,Traditional Blend Chai Large,3.0,2023-01-01 16:49:19
406,1,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023-01-01 16:49:19
409,1,50,2.5,Tea,Brewed Black Tea,Earl Grey Regular,2.5,2023-01-01 16:52:51
413,2,36,3.75,Coffee,Premium Brewed Coffee,Jamaican Coffee River Large,7.5,2023-01-01 17:01:03
421,2,31,2.2,Coffee,Gourmet Brewed Coffee,Ethiopia Small,4.4,2023-01-01 17:13:17
426,2,34,2.45,Coffee,Premium Brewed Coffee,Jamaican Coffee River Small,4.9,2023-01-01 17:19:08
427,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-01 17:19:08
435,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-01 17:23:03
440,1,37,3.0,Coffee,Barista Espresso,Espresso Shot,3.0,2023-01-01 17:28:42
441,1,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2023-01-01 17:28:42
459,1,45,3.0,Tea,Brewed Herbal Tea,Peppermint Large,3.0,2023-01-01 17:50:19
464,1,39,4.25,Coffee,Barista Espresso,Latte Regular,4.25,2023-01-01 17:58:01
469,2,49,3.0,Tea,Brewed Black Tea,English Breakfast Large,6.0,2023-01-01 18:02:21
478,2,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,5.0,2023-01-01 18:13:32
483,1,52,2.5,Tea,Brewed Chai Tea,Traditional Blend Chai Regular,2.5,2023-01-01 18:19:45
484,1,76,3.5,Bakery,Biscotti,Chocolate Chip Biscotti,3.5,2023-01-01 18:19:45
487,2,37,3.0,Coffee,Barista Espresso,Espresso Shot,6.0,2023-01-01 18:22:48
490,2,53,3.0,Tea,Brewed Chai Tea,Traditional Blend Chai Large,6.0,2023-01-01 18:23:34
493,2,54,2.5,Tea,Brewed Chai Tea,Morning Sunrise Chai Regular,5.0,2023-01-01 18:27:08
551,1,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro Shot,3.0,2023-01-02 07:01:59
552,1,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,3.0,2023-01-02 07:12:05
553,2,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,4.0,2023-01-02 07:16:35
554,1,57,3.1,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Large,3.1,2023-01-02 07:16:46
555,1,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2023-01-02 07:16:46
556,2,61,4.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Large,9.5,2023-01-02 07:22:08
557,1,42,2.5,Tea,Brewed Herbal Tea,Lemon Grass Regular,2.5,2023-01-02 07:22:45
558,1,24,3.0,Coffee,Drip Coffee,Our Old Time Diner Blend Large,3.0,2023-01-02 07:25:59
559,1,53,3.0,Tea,Brewed Chai Tea,Traditional Blend Chai Large,3.0,2023-01-02 07:35:10
560,1,41,4.25,Coffee,Barista Espresso,Cappuccino Large,4.25,2023-01-02 07:48:26
561,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-02 07:48:26
562,2,27,3.5,Coffee,Organic Brewed Coffee,Brazilian Large,7.0,2023-01-02 07:53:48
563,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-02 07:59:47
564,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-02 07:59:47
568,1,61,4.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Large,4.75,2023-01-02 08:04:59
569,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-02 08:09:46
570,1,61,4.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Large,4.75,2023-01-02 08:09:51
574,1,55,4.0,Tea,Brewed Chai Tea,Morning Sunrise Chai Large,4.0,2023-01-02 08:14:13
578,2,44,2.5,Tea,Brewed Herbal Tea,Peppermint Regular,5.0,2023-01-02 08:20:38
581,1,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,2.2,2023-01-02 08:25:22
582,2,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,4.0,2023-01-02 08:26:13
584,1,29,2.5,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Regular,2.5,2023-01-02 08:30:10
589,2,32,3.0,Coffee,Gourmet Brewed Coffee,Ethiopia Regular,6.0,2023-01-02 08:51:31
590,1,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,2.0,2023-01-02 08:55:40
593,1,33,3.5,Coffee,Gourmet Brewed Coffee,Ethiopia Large,3.5,2023-01-02 09:06:29
594,2,37,3.0,Coffee,Barista Espresso,Espresso Shot,6.0,2023-01-02 09:07:31
600,2,31,2.2,Coffee,Gourmet Brewed Coffee,Ethiopia Small,4.4,2023-01-02 09:12:47
601,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-02 09:12:47
605,1,29,2.5,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Regular,2.5,2023-01-02 09:25:27
613,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-02 09:40:52
614,1,30,3.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Large,3.0,2023-01-02 09:45:34
618,1,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,2.5,2023-01-02 09:50:57
619,1,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,3.0,2023-01-02 09:52:17
622,1,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,3.0,2023-01-02 09:56:45
623,2,37,3.0,Coffee,Barista Espresso,Espresso Shot,6.0,2023-01-02 09:58:47
627,1,58,3.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Regular,3.5,2023-01-02 10:05:11
628,1,55,4.0,Tea,Brewed Chai Tea,Morning Sunrise Chai Large,4.0,2023-01-02 10:05:22
629,1,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,3.0,2023-01-02 10:07:28
632,2,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,6.0,2023-01-02 10:13:55
633,1,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023-01-02 10:13:55
634,1,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,2.0,2023-01-02 10:16:43
637,1,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,2.5,2023-01-02 10:22:19
638,1,23,2.5,Coffee,Drip Coffee,Our Old Time Diner Blend Regular,2.5,2023-01-02 10:26:49
639,1,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,2.2,2023-01-02 10:27:05
643,1,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,3.0,2023-01-02 10:36:44
645,1,53,3.0,Tea,Brewed Chai Tea,Traditional Blend Chai Large,3.0,2023-01-02 10:48:57
650,2,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,5.0,2023-01-02 11:01:06
655,1,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,2.2,2023-01-02 11:06:28
659,1,46,2.5,Tea,Brewed Green Tea,Serenity Green Tea Regular,2.5,2023-01-02 11:12:33
675,2,54,2.5,Tea,Brewed Chai Tea,Morning Sunrise Chai Regular,5.0,2023-01-02 11:25:20
676,2,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,5.0,2023-01-02 11:27:35
683,2,58,3.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Regular,7.0,2023-01-02 11:36:50
685,2,42,2.5,Tea,Brewed Herbal Tea,Lemon Grass Regular,5.0,2023-01-02 11:39:11
686,1,74,3.5,Bakery,Biscotti,Ginger Biscotti,3.5,2023-01-02 11:39:11
688,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-02 11:41:54
692,1,44,2.5,Tea,Brewed Herbal Tea,Peppermint Regular,2.5,2023-01-02 11:49:10
697,2,43,3.0,Tea,Brewed Herbal Tea,Lemon Grass Large,6.0,2023-01-02 11:54:01
714,1,47,3.0,Tea,Brewed Green Tea,Serenity Green Tea Large,3.0,2023-01-02 12:20:43
715,1,71,3.75,Bakery,Pastry,Chocolate Croissant,3.75,2023-01-02 12:20:43
720,1,55,4.0,Tea,Brewed Chai Tea,Morning Sunrise Chai Large,4.0,2023-01-02 12:22:12
721,1,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023-01-02 12:22:12
722,1,22,2.0,Coffee,Drip Coffee,Our Old Time Diner Blend Small,2.0,2023-01-02 12:23:03
725,2,33,3.5,Coffee,Gourmet Brewed Coffee,Ethiopia Large,7.0,2023-01-02 12:24:39
726,1,69,3.25,Bakery,Biscotti,Hazelnut Biscotti,3.25,2023-01-02 12:24:39
728,2,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,5.1,2023-01-02 12:25:24
729,2,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,4.4,2023-01-02 12:26:13
730,1,78,4.5,Bakery,Scone,Scottish Cream Scone ,4.5,2023-01-02 12:26:13
741,1,25,2.2,Coffee,Organic Brewed Coffee,Brazilian Small,2.2,2023-01-02 12:36:37
744,2,87,3.0,Coffee,Barista Espresso,Ouro Brasileiro Shot,6.0,2023-01-02 12:39:04
746,1,52,2.5,Tea,Brewed Chai Tea,Traditional Blend Chai Regular,2.5,2023-01-02 12:42:19
748,1,26,3.0,Coffee,Organic Brewed Coffee,Brazilian Regular,3.0,2023-01-02 12:45:02
752,1,58,3.5,Drinking Chocolate,Hot Chocolate,Dark Chocolate Regular,3.5,2023-01-02 12:54:07
753,1,77,3.0,Bakery,Scone,Oatmeal Scone,3.0,2023-01-02 12:54:07
754,2,52,2.5,Tea,Brewed Chai Tea,Traditional Blend Chai Regular,5.0,2023-01-02 12:54:53
765,2,22,2.0,Coffee,Drip Coffee,Our Old Time Diner Blend Small,4.0,2023-01-02 13:03:33
770,1,51,3.0,Tea,Brewed Black Tea,Earl Grey Large,3.0,2023-01-02 13:09:27
771,1,70,3.25,Bakery,Scone,Cranberry Scone,3.25,2023-01-02 13:09:27
775,2,31,2.2,Coffee,Gourmet Brewed Coffee,Ethiopia Small,4.4,2023-01-02 13:14:54
776,1,24,3.0,Coffee,Drip Coffee,Our Old Time Diner Blend Large,3.0,2023-01-02 13:15:40
794,2,32,3.0,Coffee,Gourmet Brewed Coffee,Ethiopia Regular,6.0,2023-01-02 13:35:24
799,1,48,2.5,Tea,Brewed Black Tea,English Breakfast Regular,2.5,2023-01-02 13:40:53
800,1,79,3.75,Bakery,Scone,Jumbo Savory Scone,3.75,2023-01-02 13:40:53
813,1,39,4.25,Coffee,Barista Espresso,Latte Regular,4.25,2023-01-02 13:56:19
821,1,56,2.55,Tea,Brewed Chai Tea,Spicy Eye Opener Chai Regular,2.55,2023-01-02 14:05:27
822,1,75,3.5,Bakery,Pastry,Croissant,3.5,2023-01-02 14:05:27
824,2,60,3.75,Drinking Chocolate,Hot Chocolate,Sustainably Grown Organic Regular,7.5,2023-01-02 14:07:49
826,1,28,2.0,Coffee,Gourmet Brewed Coffee,Columbian Medium Roast Small,2.0,2023-01-02 14:11:08
